workload,strategy,run,cost_usd,latency_sec,hypervolume,overhead_sec,n_pareto
Low,B1-AllSmall,0,0.051511213881778685,3679.5105244880647,,,
Low,B3-AllLarge,0,0.11988064321577585,1529.147230956079,,,
Medium,NSGA-III,0,0.2129603037306485,6362.490069302781,1015.6002489657106,2.151,5
Medium,NSGA-III,1,0.212952100869923,6363.234499865884,1022.4648680307545,2.251,6
Medium,NSGA-III,2,0.2129900457929275,6362.494677900521,1022.5169167362582,2.256,6
Medium,NSGA-III,3,0.21296790771113408,6362.541094205202,1022.5470595447277,2.079,6
Medium,NSGA-III,4,0.21298197972468969,6362.556384537079,1022.5833155979353,2.14,6
Medium,NSGA-III,5,0.21299135040345826,6362.658808920698,1022.4324581453515,2.203,6
Medium,NSGA-III,6,0.21297618427984194,6362.475474594167,1022.5658825472104,2.334,6
Medium,NSGA-III,7,0.2129798168161851,6362.537150788756,1022.4860486363796,2.234,6
Medium,NSGA-III,8,0.2129965331915064,6362.760999057789,1012.4651800699764,2.149,4
Medium,NSGA-III,9,0.2129926072792056,6362.586505499004,1022.4088496712629,2.083,6
Medium,NSGA-III,10,0.21297696653485323,6362.473768803512,1007.981406788734,2.158,4
Medium,NSGA-III,11,0.21299490632752677,6362.82898511354,1019.3603273416952,2.251,5
Medium,NSGA-III,12,0.212969506333649,6362.5585600078975,1022.5811288392975,2.224,6
Medium,NSGA-III,13,0.21298584292067024,6362.505782989607,1015.4931436291197,2.187,5
Medium,NSGA-III,14,0.2089960079101875,6598.608651816243,1002.8452806630532,2.131,4
Medium,NSGA-III,15,0.21297951649481617,6362.582981824829,1022.4728408242336,2.397,6
Medium,NSGA-III,16,0.21298889501573803,6363.308078827422,1022.2770560297716,2.183,6
Medium,NSGA-III,17,0.20899132727212696,6598.594621483919,1005.8122547735012,1.669,4
Medium,NSGA-III,18,0.21292521569527975,6363.251060072387,1022.5505725673441,2.344,6
Medium,NSGA-III,19,0.2129789007088891,6362.660260322456,1022.5023668701435,2.289,6
Medium,NSGA-III,20,0.2129773681315148,6362.518898821749,1007.9540487101464,2.34,4
Medium,NSGA-III,21,0.21298950609587872,6362.760350087441,1004.8520922309335,2.208,3
Medium,NSGA-III,22,0.21297951453539155,6362.5326938073595,1022.5144691601731,2.121,6
Medium,NSGA-III,23,0.21302028513646953,6362.724927492033,1022.2544080284122,2.295,6
Medium,NSGA-III,24,0.176919268869677,8502.378078924796,892.929062544115,2.189,3
Medium,NSGA-III,25,0.2129632877224706,6362.517717394774,1022.5930742590546,2.138,6
Medium,NSGA-III,26,0.21300368837238035,6362.851162176653,1022.383089821192,2.074,6
Medium,NSGA-III,27,0.21297091518339295,6364.764643574488,1021.9885074763081,2.139,6
Medium,NSGA-III,28,0.21296682644644357,6362.487363525701,1004.9944099474968,2.304,3
Medium,NSGA-III,29,0.2130129350059321,6362.725435574225,1022.3135441863617,2.258,6
Medium,B2-WeightedSumGA,0,0.21406946429475493,6407.0316665854025,790.5255907587656,,
Medium,B2-WeightedSumGA,1,0.21427307479423296,6401.499247037335,790.3729501238969,,
Medium,B2-WeightedSumGA,2,0.2160502103814864,6436.249672745007,776.0372894931517,,
Medium,B2-WeightedSumGA,3,0.21576568192277804,6428.932780740188,778.5972159786613,,
Medium,B2-WeightedSumGA,4,0.21639979768791542,6478.151845341795,767.7932238383128,,
Medium,B2-WeightedSumGA,5,0.21313053526819822,6366.579345664494,801.6467025072523,,
Medium,B2-WeightedSumGA,6,0.21450196477169745,6396.074385654109,790.0739473072733,,
Medium,B2-WeightedSumGA,7,0.2152421683462789,6433.258577806527,780.538719184457,,
Medium,B2-WeightedSumGA,8,0.21478047577298634,6406.740616164865,787.0007775179018,,
Medium,B2-WeightedSumGA,9,0.21536100502782568,6431.93834580602,780.1512159130574,,
Medium,B2-WeightedSumGA,10,0.21272769026050833,6709.79111632333,749.1954351109755,,
Medium,B2-WeightedSumGA,11,0.2143945568482046,6396.072580983414,790.6147687922916,,
Medium,B2-WeightedSumGA,12,0.21509917687850716,6414.872671690425,784.1284789281359,,
Medium,B2-WeightedSumGA,13,0.2169427586862771,6473.473856370418,765.8282884671679,,
Medium,B2-WeightedSumGA,14,0.21463444789332442,6413.983045493171,786.5980707507688,,
Medium,B2-WeightedSumGA,15,0.2184415488512517,6541.5816752224455,747.9774521363661,,
